	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
4096	9675127A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4097	9526969A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4098	9356334A18284	Proyectos	Socio/Accionista	Perú	Sin Version	Online Asincronica
4099	10197896A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4100	10284178A19307	Proyectos	Practicante	Perú	Sin Version	Online Asincronica
4101	10208814A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4102	10241901A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4103	10232831A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4104	10259911A25172	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4105	10597593A25172	Proyectos		Perú	Sin Version	Online Asincronica
4106	10080701A22231	Proyectos	Director/Presidente/CEO	Perú	Sin Version	Online Asincronica
4107	9320466A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4108	9715989A22231	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4109	9978707A18284	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4110	10090248A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4111	10095004A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4112	9681058A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4113	9772191A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4114	10115793A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4115	10022643A19307	Proyectos	Director/Presidente/CEO	Perú	Sin Version	Online Asincronica
4116	9389427A19307	Proyectos	Socio/Accionista	Perú	Sin Version	Online Asincronica
4117	193336A19307	Proyectos	Gerente General/ Apoderado	Perú	Sin Version	Online Asincronica
4118	10003402A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4119	10019625A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4120	10013473A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4121	86825A19307	Proyectos		Perú	Sin Version	Online Asincronica
4122	9611261A19307	Proyectos	Funcionario Publico	Perú	Sin Version	Online Asincronica
4123	9416922A19307	Proyectos	Analista	Perú	Sin Version	Online Asincronica
4124	9643394A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4125	9976390A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4126	9559307A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4127	9951521A19307	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4128	10111783A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4129	10211470A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4130	10266092A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4131	10183361A19307	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4132	10236227A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4133	10245632A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4134	10317013A19307	Proyectos		Perú	Sin Version	Online Asincronica
4135	10252532A19307	Proyectos	Analista	Perú	Sin Version	Online Asincronica
4136	10267154A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4137	10273306A19307	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4138	10275190A19307	Proyectos	Encargado	Perú	Sin Version	Online Asincronica
4139	10552726A25172	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4140	10305697A19307	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4141	9299363A25172	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
